"","ART_NUM","ART_START","ART_END","WORDS","DATE"
"717",717,39578,39634,466,18397
"718",718,39635,39680,728,18397
"719",719,39681,39749,798,18397
"720",720,39750,39816,748,18397
"721",721,39817,39868,607,18398
"722",722,39869,39928,556,18398
"723",723,39929,39971,320,18398
"724",724,39972,40032,750,18398
"725",725,40033,40093,798,18398
"726",726,40094,40141,303,18398
"727",727,40142,40203,380,18398
"728",728,40204,40272,844,18398
"729",729,40273,40354,997,18398
"730",730,40355,40436,989,18398
"731",731,40437,40500,720,18398
"732",732,40501,40541,478,18398
"733",733,40542,40597,732,18399
"734",734,40598,40644,338,18399
"735",735,40645,40698,408,18399
"736",736,40699,40745,494,18399
"737",737,40746,40805,616,18399
"738",738,40806,40864,484,18399
"739",739,40865,40918,425,18399
"740",740,40919,40967,289,18399
"741",741,40968,41043,850,18399
"742",742,41044,41079,323,18400
"743",743,41080,41125,331,18400
"744",744,41126,41167,321,18400
"745",745,41168,41218,406,18401
"746",746,41219,41260,186,18401
"747",747,41261,41306,330,18401
"748",748,41307,41349,315,18401
"749",749,41350,41401,472,18401
"750",750,41402,41456,398,18402
"751",751,41457,41560,227,18402
"752",752,41561,41639,821,18402
"753",753,41640,41701,705,18402
"754",754,41702,41762,408,18403
"755",755,41763,41814,272,18404
"756",756,41815,41872,983,18404
"757",757,41873,41938,546,18404
"758",758,41939,41979,211,18404
"759",759,41980,42028,307,18404
"760",760,42029,42069,368,18404
"761",761,42070,42121,416,18404
"762",762,42122,42181,629,18404
"763",763,42182,42239,536,18404
"764",764,42240,42282,429,18404
"765",765,42283,42349,657,18404
"766",766,42350,42386,324,18404
"767",767,42387,42447,625,18404
"768",768,42448,42510,657,18404
"769",769,42511,42541,532,18404
"770",770,42542,42591,486,18404
"771",771,42592,42658,711,18405
"772",772,42659,42712,758,18405
"773",773,42713,42754,334,18405
"774",774,42755,42789,315,18405
"775",775,42790,42834,321,18405
"776",776,42835,42904,685,18405
"777",777,42905,42968,649,18405
"778",778,42969,43028,541,18405
"779",779,43029,43085,988,18405
"780",780,43086,43166,774,18406
"781",781,43167,43210,303,18406
"782",782,43211,43282,817,18406
"783",783,43283,43329,308,18406
"784",784,43330,43388,547,18406
"785",785,43389,43431,378,18406
"786",786,43432,43507,833,18406
"787",787,43508,43567,437,18406
"788",788,43568,43631,437,18406
"789",789,43632,43685,753,18406
"790",790,43686,43745,417,18406
"791",791,43746,43797,443,18406
"792",792,43798,43870,797,18406
"793",793,43871,43930,524,18407
"794",794,43931,43978,358,18407
"795",795,43979,44040,659,18407
"796",796,44041,44090,405,18407
"797",797,44091,44132,493,18407
"798",798,44133,44177,255,18408
"799",799,44178,44230,459,18408
"800",800,44231,44296,809,18408
"801",801,44297,44371,758,18408
"802",802,44372,44425,335,18408
"803",803,44426,44485,662,18408
"804",804,44486,44547,425,18408
"805",805,44548,44604,528,18409
"806",806,44605,44661,407,18409
"807",807,44662,44726,572,18409
"808",808,44727,44788,792,18409
"809",809,44789,44865,763,18409
"810",810,44866,44912,326,18411
"811",811,44913,44975,607,18411
"812",812,44976,45033,877,18411
"813",813,45034,45089,469,18412
"814",814,45090,45138,368,18412
"815",815,45139,45205,728,18412
"816",816,45206,45267,893,18412
"817",817,45268,45323,486,18412
"818",818,45324,45358,191,18412
"819",819,45359,45420,474,18412
"820",820,45421,45480,334,18412
"821",821,45481,45562,752,18412
"822",822,45563,45619,448,18412
"823",823,45620,45703,835,18412
"824",824,45704,45789,802,18412
"825",825,45790,45855,858,18412
"826",826,45856,45941,877,18412
"827",827,45942,46015,1084,18412
"828",828,46016,46125,896,18412
"829",829,46126,46164,313,18413
"830",830,46165,46213,474,18413
"831",831,46214,46267,555,18413
"832",832,46268,46310,309,18413
"833",833,46311,46379,891,18413
"834",834,46380,46437,459,18413
"835",835,46438,46493,499,18413
"836",836,46494,46537,295,18413
"837",837,46538,46578,312,18413
"838",838,46579,46635,431,18413
"839",839,46636,46699,396,18413
"840",840,46700,46744,309,18413
"841",841,46745,46814,703,18413
"842",842,46815,46873,489,18413
"843",843,46874,46919,299,18413
"844",844,46920,46990,787,18414
"845",845,46991,47061,787,18414
"846",846,47062,47130,756,18414
"847",847,47131,47194,518,18414
"848",848,47195,47265,744,18414
"849",849,47266,47325,499,18414
"850",850,47326,47382,438,18414
"851",851,47383,47455,697,18414
"852",852,47456,47511,560,18414
"853",853,47512,47576,724,18414
"854",854,47577,47635,472,18414
"855",855,47636,47690,428,18414
"856",856,47691,47742,454,18414
"857",857,47743,47799,520,18415
"858",858,47800,47863,728,18415
"859",859,47864,47911,394,18415
"860",860,47912,47966,299,18415
"861",861,47967,48015,365,18415
"862",862,48016,48074,451,18415
"863",863,48075,48131,478,18415
"864",864,48132,48186,345,18415
"865",865,48187,48259,794,18415
"866",866,48260,48301,85,18415
