"","X","ART_NUM","ART_START","ART_END","WORDS","vader_score_neg","vader_score_neu","vader_score_pos","vader_score_compound","DATE","Argentina","Bangladesh","Bahrain","Brazil","Bulgaria","Chile","China","Colombia","Czech Republic","Egypt","Estonia","Greece","Hungary","India","Indonesia","Iran","Israel","Jordan","Kazakhstan","Kenya","Lebanon","Malaysia","Mauritius","Mexico","Morocco","Malaysia.1","Nigeria","Oman","Pakistan","Peru","Philippines","Poland","Qatar","Romania","Russia","Slovakia","Slovenia","Saudi Arabia","South Africa","South Korea","Sri Lanka","Taiwan","Thailand","Tunisia","Turkey","Ukraine","United Arab Emirates","Venezuela","Vietnam"
"80",79,80,4366,4405,196,0.07,0.904,0.026,-0.9092,18277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",80,81,4406,4454,428,0.092,0.8,0.109,0.8873,18277,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",81,82,4455,4522,571,0.058,0.872,0.07,0.8176,18277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"83",82,83,4523,4583,535,0.055,0.851,0.094,0.9628,18277,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",83,84,4584,4631,438,0.05,0.873,0.077,0.9403,18277,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",84,85,4632,4687,456,0.032,0.895,0.073,0.9736,18277,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"86",85,86,4688,4733,491,0.034,0.876,0.09,0.9852,18277,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",86,87,4734,4772,378,0.102,0.839,0.059,-0.9648,18277,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",87,88,4773,4882,957,0.042,0.907,0.051,0.6858,18277,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"89",88,89,4883,4926,299,0.084,0.817,0.099,0.802,18278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
